Unnamed: 0,brand_name,rating,number_of_reviews,price
0,Casio,4.4,54000.0,"1,894"
1,Casio,4.5,13200.0,"1,191"
2,Titan,4.3,2900.0,"1,695"
3,Daniel Hechter,4.3,890000.0,"2,593"
4,Casio,4.5,1100.0,"4,494"
5,Fastrack,4.3,2300.0,706
6,TIMEX,4.1,23900.0,"1,099"
7,Casio,4.4,7200.0,"4,796"
8,Titan,4.3,1300.0,"4,795"
9,Carlington,4.1,3000.0,999
10,Titan,4.3,1000.0,"4,365"
11,Fossil,4.4,1300.0,"7,790"
12,Titan,4.3,754000.0,"2,547"
13,Casio,4.5,329000.0,"1,994"
14,Fastrack,4.1,15200.0,850
15,Matrix,3.8,1900.0,273
16,Titan,4.4,448000.0,"13,721"
17,Daniel Hechter,4.3,428000.0,"1,978"
18,Fastrack,4.4,249000.0,"1,195"
19,Fossil,4.2,2100.0,"7,194"
20,Titan,4.3,1300.0,"3,035"
21,Fossil,4.2,17200.0,"8,446"
22,Titan,4.4,1400.0,"1,695"
23,Fossil,4.2,327000.0,"7,248"
24,Titan,4.4,251000.0,"7,822"
25,Titan,4.3,150000.0,"6,038"
26,Titan,4.3,397000.0,"5,806"
27,Casio,4.5,4300.0,"2,156"
28,AMERICANVIBER,4.0,159000.0,419.
29,Casio,4.4,15800.0,"2,994"
30,TIMEX,4.3,2400.0,"3,496"
31,Sonata,4.2,2800.0,"1,498"
32,Titan,4.5,380000.0,"2,306"
33,Casio,4.5,10800.0,"3,196"
34,Carlington,4.2,1000.0,948
35,Titan,4.2,1600.0,"2,121"
36,AMERICANVIBER,4.3,26000.0,460.
37,Casio,4.5,729000.0,"2,494"
38,Titan,4.1,1300.0,"1,764"
39,Casio,4.3,2200.0,"9,194"
40,Casio,4.5,591000.0,"10,396"
41,Titan,4.3,1300.0,"5,946"
42,Sonata,4.2,4600.0,749
43,Titan,4.2,871000.0,"4,797"
44,Titan,4.2,4900.0,"1,915"
45,Casio,4.4,878000.0,"3,994"
46,Armani Exchange,4.2,4200.0,"4,998"
47,Fossil,4.2,2800.0,"7,972"
48,Casio,4.5,36000.0,"11,994"
49,Shocknshop,4.1,107000.0,473
50,Carlington,4.0,598000.0,999
51,Titan,4.3,2000.0,"2,635"
52,Acnos,3.7,2300.0,265
53,Fastrack,4.4,384000.0,"1,270"
54,Shocknshop,4.0,1300.0,473
55,Sonata,4.0,12400.0,675
56,Fastrack,4.5,256000.0,"1,835"
57,Casio,4.6,1600.0,"6,495"
58,Titan,4.2,1000.0,"3,115"
59,Acnos,3.7,3300.0,174
60,LOUIS DEVIN,4.0,5300.0,331
61,Sonata,4.2,1300.0,624
62,Casio,4.2,251000.0,"2,694"
63,Titan,4.2,4000.0,"2,070"
64,OLEVS,3.6,2600.0,"3,010"
65,Casio,4.4,818000.0,"8,365"
66,Matrix,4.0,4400.0,273
67,Titan,4.4,1300.0,"1,695"
68,TIMEWEAR,3.7,2800.0,309
69,Casio,4.2,3700.0,"7,856."
70,Matrix,3.6,147000.0,398
71,Sonata,4.4,767000.0,"1,294"
72,Fastrack,4.3,2200.0,"1,322"
73,Acnos,4.2,2500.0,259
74,GOLDENIZE FASHION,4.5,65000.0,989
75,Fastrack,4.3,222000.0,"1,835"
76,Titan,4.3,1200.0,925
77,Casio,4.4,412000.0,"11,995"
78,Armani Exchange,4.3,805000.0,"8,247"
79,Sonata,4.2,6600.0,649
80,Sonata,4.1,2700.0,699
81,GOLDENIZE FASHION,4.2,348000.0,589
82,Casio,4.3,781000.0,"6,236"
83,Casio,4.5,118000.0,"4,396"
84,Casio,4.5,1500.0,"2,995"
85,Casio,4.3,2900.0,"1,895"
86,Sonata,4.2,986000.0,849
87,Matrix,4.0,1100.0,248
88,Fastrack,4.6,67000.0,"2,877"
89,Carlington,4.2,302000.0,"1,613"
90,Titan,4.3,1200.0,"2,475"
91,Shocknshop,3.8,599000.0,473
92,Casio,4.3,1300.0,"1,895"
93,Titan,4.3,530000.0,"3,714"
94,AMERICANVIBER,4.2,117000.0,399
95,Fossil,4.4,2300.0,"14,494"
96,Matrix,4.1,158000.0,273
97,OLEVS,4.0,798000.0,"2,886"
98,Fastrack,4.3,482000.0,"1,617"
99,Casio,4.6,1400.0,"2,995"
100,TIMEX,4.2,119000.0,"9,597"
101,Fastrack,4.3,558000.0,"1,525"
102,Casio,4.4,434000.0,"14,875"
103,Matrix,3.8,376000.0,448
104,Casio,4.1,324000.0,"5,295"
105,Shocknshop,3.9,10400.0,275
106,Acnos,4.1,2100.0,265
107,ON TIME OCTUS,4.1,70000.0,429
108,Sonata,4.4,288000.0,994
109,Titan,4.2,97000.0,"6,596"
110,Fastrack,4.1,5000.0,"1,536"
111,Fastrack,4.1,115000.0,895
112,Matrix,3.7,2500.0,273
113,Casio,4.3,435000.0,"5,295"
114,Casio,4.4,445000.0,"2,495"
115,Fastrack,4.3,445000.0,"3,671"
116,TIMEWEAR,3.8,16300.0,319
117,Casio,4.4,47000.0,"8,995"
118,Casio,4.3,19000.0,"25,995"
119,BENYAR,4.0,4700.0,"2,745"
120,TIMEX,3.4,123000.0,"6,597"
121,Casio,4.5,289000.0,"5,575"
122,Titan,4.4,255000.0,"9,310"
123,Titan,4.3,316000.0,"4,196"
124,Titan,4.4,1200.0,"1,795"
125,Casio,4.5,803000.0,"5,295"
126,Titan,4.3,518000.0,"3,035"
127,Seiko,4.5,1100.0,"40,500"
128,Titan,4.4,514000.0,"4,557"
129,LONGBO,3.9,1100.0,948
